Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      ND16      ND17      ND18      ND19      ND20      Egz.
Vardas99297         Pavarde99297                      
Vardas99298         Pavarde99298                      8         5         9         9         4         6         9         4         4         7         8         1         7         4         9         1         5         2        10         4         8
Vardas99299         Pavarde99299                      2         7         3         1         9         8         4        10         1         9         3         3         4        10         4         9         5         6         1         1         7
Vardas99300         Pavarde99300                      4         2         2        10         2         2         5         8         7         7         8         4         5         4         6         7         4         5         4         9         2
Vardas99301         Pavarde99301                      2         3         1         4         8        10         7         2         9         2         3        10         6         3         8         7         3         6         5         9         8
Vardas99302         Pavarde99302                      5         5         8         4         4         2         5         1         5         3         4         3         4         9         3         9         8         6         8         6         3
Vardas99904         Pavarde99904                      1         1         2         4         8         5         9         2         5         6         2         7        10         2         6         1         8         8         8         2         5
Vardas99905         Pavarde99905                      9         5         9         3        10         8         9         6         5         8        10        10         5         1         2         3         2         9         5         8         6
Vardas99906         Pavarde99906                      8         4         3         2         4         1         3        10         5         1         8         1         1         5         5         4         9         5         5        10         7
Vardas99907         Pavarde99907                      7         6         5         2         1         7         2         1         3         8         7        10         8         7         7         2         6         6         2         8         9
Vardas99908         Pavarde99908                     10         5         1         7         5         8         7         8         2         4         2         2         9         3         2         2         1         8         5         6         1
Vardas99909         Pavarde99909                      5         5         5         6         6         9         6         8         8         5         6        10         8         5         3         4         1         5         4         1         7
Vardas99910         Pavarde99910                      4         5         2         9         2         2        10         6         3         7        10         6         2         2         7        10         8         9         5         4         8
Vardas99911         Pavarde99911                      6         3         4        10         6         3         4         4         7         9         8         2         8         9         3         5         3         7         9         6        10
Vardas99912         Pavarde99912                      8        10         6         8        10         2         9         4         6        10         3         9         5         9        10         4         4         7         8        10         5
Vardas99913         Pavarde99913                      7         8         1         5         8         2         1        10         5         5         4         8         5         4         9         2         6        10         6         2         3
Vardas99914         Pavarde99914
Vardas99915         Pavarde99915                      9        7         6         1         3         6         9         9         6         6         7         5         6         1         6         2         2        10         5         7         6
Vardas99916         Pavarde99916                      6sdfg         1         4         6         7        10         5         2         9         2         1         9         8         3         8         7         5         1         4         7         1
Vardas99917         Pavarde99917                      4         8         6         9         2         2        10         9        10         6         4         4         9         3         3         1         7         9         4         2         2
Vardas99918         Pavarde99918                      5        10        10         8        10         1         9         5         9         5         2        10         8         8         9         9         6         4         9         5         3
Vardas99919         Pavarde99919                      3         7         5         4         6         6        10         4         8        10        10         3         2         7         5         7         5         2         3         7         8
Vardas99945         Pavarde99945                      5         5         7        10         5         7         9         4         3         5        10         5         3         4         8         5         1         2         4         1         9
Vardas99946         Pavarde99946                      4         1         1         2         2         5         6         7         9         2         1         4         6        10        10         9         6         7         9         3         3
Vardas99947         Pavarde99947                      9         8         3         9         5         6         3         1         4         7         3         4         8         4         9         6         4         8         9        10         7
Vardas99953         Pavarde99953                      6         8         9        10         6         1         3         7         4         8         5         3         8        10         8         2         5         2         6         7         3
Vardas99954         Pavarde99954                      4         2         7         4        10         9         6         2         1         9         5         9         7         4         7         2         2         7         3         9         1
Vardas99955         Pavarde99955                      9         9         8         9         3         2         2         2        10         9         4        10         6         5        10         3         1         1        10         8        10
Vardas99964         Pavarde99964                                               
